ID,name,description,url,created,last modified,version,relationship citations
M1037,Filter Network Traffic,Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.,https://attack.mitre.org/mitigations/M1037,11 June 2019,20 June 2020,1.1,"(Citation: RedLock Instance Metadata API 2018),(Citation: Microsoft Preventing SMB),(Citation: Cisco ARP Poisoning Mitigation 2016),(Citation: US-CERT APT Energy Oct 2017),(Citation: byt3bl33d3r NTLM Relaying),(Citation: US-CERT TA17-156A SNMP Abuse 2017),(Citation: Secure Ideas SMB Relay),(Citation: US-CERT SMB Security),(Citation: Microsoft SMB Packet Signing),(Citation: CERT-EU DDoS March 2017),(Citation: Juniper DAI 2020)"
M1035,Limit Access to Resource Over Network,"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc.",https://attack.mitre.org/mitigations/M1035,11 June 2019,09 June 2020,1.0,"(Citation: Kubernetes API Control Access),(Citation: Docker Daemon Socket Protect),(Citation: Wikipedia 802.1x),(Citation: TechNet RDP Gateway)"
M1034,Limit Hardware Installation,"Block users or groups from installing or using unapproved hardware on systems, including USB devices.",https://attack.mitre.org/mitigations/M1034,11 June 2019,09 June 2020,1.0,
M1033,Limit Software Installation,Block users or groups from installing unapproved software.,https://attack.mitre.org/mitigations/M1033,11 June 2019,11 June 2019,1.0,
M1032,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.,https://attack.mitre.org/mitigations/M1032,10 June 2019,10 June 2019,1.0,"(Citation: Expel IO Evil in AWS),(Citation: Berkley Secure),(Citation: Amazon S3 Security, 2019),(Citation: Cisco IOS Software Integrity Assurance - TACACS),(Citation: Evilginx 2 July 2018),(Citation: AWS - IAM Console Best Practices)"
M1031,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.,https://attack.mitre.org/mitigations/M1031,10 June 2019,10 June 2019,1.0,"(Citation: Akamai DGA Mitigation),(Citation: US-CERT-TA18-106A),(Citation: University of Birmingham C2),(Citation: Cybereason Dissecting DGAs),(Citation: Anomali Template Injection MAR 2018),(Citation: US-CERT TA18-106A Network Infrastructure Devices 2018),(Citation: Cisco Umbrella DGA Brute Force)"
M1030,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems.",https://attack.mitre.org/mitigations/M1030,10 June 2019,14 May 2020,1.1,"(Citation: Harmj0y Domain Trusts),(Citation: TechNet Firewall Design),(Citation: US-CERT TA17-156A SNMP Abuse 2017),(Citation: NSA Spotting)"
M1028,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.,https://attack.mitre.org/mitigations/M1028,06 June 2019,19 June 2020,1.1,"(Citation: Seqrite DoubleExtension),(Citation: Windows RDP Sessions),(Citation: Tilbury Windows Credentials),(Citation: TechNet Removable Media Control),(Citation: Microsoft GPO Bluetooth FEB 2009),(Citation: HowToGeek ShowExtension),(Citation: Microsoft Disable NTLM Nov 2012),(Citation: Microsoft WDigest Mit),(Citation: UCF STIG Elevation Account Enumeration),(Citation: TechNet RDP NLA),(Citation: Microsoft BITS),(Citation: SpectorOps Code Signing Dec 2017),(Citation: Apple Developer Doco Hardened Runtime),(Citation: TechNet Server Operator Scheduled Task),(Citation: TechRepublic Wireless GPO FEB 2009),(Citation: Windows Anonymous Enumeration of SAM Accounts)"
M1027,Password Policies,Set and enforce secure password policies for accounts.,https://attack.mitre.org/mitigations/M1027,06 June 2019,06 June 2019,1.0,"(Citation: Microsoft Install Password Filter n.d),(Citation: NIST 800-63-3),(Citation: AdSecurity Cracking Kerberos Dec 2015),(Citation: AWS - IAM Console Best Practices),(Citation: US-CERT Alert TA13-175A Risks of Default Passwords on the Internet)"
M1056,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques.",https://attack.mitre.org/mitigations/M1056,19 October 2020,20 October 2020,1.0,
M1026,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.",https://attack.mitre.org/mitigations/M1026,06 June 2019,31 March 2020,1.1,"(Citation: TechNet Credential Theft),(Citation: ADSecurity AD Kerberos Attacks),(Citation: Microsoft Securing Privileged Access),(Citation: Microsoft runas),(Citation: AdSecurity Cracking Kerberos Dec 2015),(Citation: Cisco IOS Software Integrity Assurance - TACACS),(Citation: Microsoft Process Wide Com Keys),(Citation: Tilbury Windows Credentials),(Citation: Microsoft Replace Process Token),(Citation: FireEye WMI 2015),(Citation: TechNet Scheduling Priority),(Citation: TechNet Least Privilege),(Citation: CyberArk Labs Safe Mode 2016),(Citation: FireEye ADFS),(Citation: Microsoft System Wide Com Keys),(Citation: Cisco IOS Software Integrity Assurance - AAA),(Citation: Microsoft Create Token),(Citation: Microsoft Remote Use of Local),(Citation: Netspi PowerShell Execution Policy Bypass),(Citation: Microsoft COM ACL)"
M1025,Privileged Process Integrity,"Protect processes with high privileges that can be used to interact with critical system components through use of protected process light, anti-process injection defenses, or other process integrity enforcement measures.",https://attack.mitre.org/mitigations/M1025,06 June 2019,20 May 2020,1.1,"(Citation: Microsoft LSA Protection Mar 2014),(Citation: Microsoft Configure LSA),(Citation: Microsoft LSA),(Citation: Graeber 2014)"
M1029,Remote Data Storage,Use remote security log and sensitive file storage where access can be controlled better to prevent exposure of intrusion detection log data or sensitive information.,https://attack.mitre.org/mitigations/M1029,06 June 2019,06 June 2019,1.0,(Citation: Ready.gov IT DRP)
M1022,Restrict File and Directory Permissions,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.,https://attack.mitre.org/mitigations/M1022,06 June 2019,20 May 2020,1.1,"(Citation: Microsoft ETW May 2018),(Citation: InsiderThreat NTFS EA Oct 2017),(Citation: Microsoft W32Time May 2017),(Citation: win_xml_evt_log)"
M1044,Restrict Library Loading,Prevent abuse of library loading mechanisms in the operating system and software to load untrusted code by configuring appropriate library loading mechanisms and investigating potential vulnerable software.,https://attack.mitre.org/mitigations/M1044,11 June 2019,11 June 2019,1.0,"(Citation: Microsoft More information about DLL),(Citation: Microsoft Dynamic Link Library Search Order),(Citation: Microsoft DLL Security)"
M1024,Restrict Registry Permissions,Restrict the ability to modify certain hives or keys in the Windows Registry.,https://attack.mitre.org/mitigations/M1024,06 June 2019,06 June 2019,1.0,"(Citation: Microsoft W32Time May 2017),(Citation: def_ev_win_event_logging)"
M1021,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.",https://attack.mitre.org/mitigations/M1021,06 June 2019,06 June 2019,1.0,(Citation: Microsoft Azure AD Admin Consent)
M1020,SSL/TLS Inspection,Break and inspect SSL/TLS sessions to look at encrypted web traffic for adversary activity.,https://attack.mitre.org/mitigations/M1020,06 June 2019,06 June 2019,1.0,
M1054,Software Configuration,Implement configuration changes to software (other than the operating system) to mitigate security risks associated to how the software operates.,https://attack.mitre.org/mitigations/M1054,19 July 2019,31 March 2020,1.1,"(Citation: CloudSploit - Unused AWS Regions),(Citation: CyberArk Labs Safe Mode 2016),(Citation: Enigma Reviving DDE Jan 2018),(Citation: Wikipedia HPKP),(Citation: Cisco Securing SNMP),(Citation: Palo Alto Office Test Sofacy),(Citation: Microsoft Anti Spoofing),(Citation: ACSC Email Spoofing),(Citation: GitHub Disable DDEAUTO Oct 2017),(Citation: US-CERT TA18-106A Network Infrastructure Devices 2018)"
M1019,Threat Intelligence Program,A threat intelligence program helps an organization generate their own threat intelligence information and track trends to inform defensive priorities to mitigate risk.,https://attack.mitre.org/mitigations/M1019,06 June 2019,06 June 2019,1.0,
M1051,Update Software,Perform regular software updates to mitigate exploitation risk.,https://attack.mitre.org/mitigations/M1051,11 June 2019,07 July 2020,1.0,"(Citation: SensePost Outlook Forms),(Citation: Cisco Blog Legacy Device Attacks),(Citation: NSA Spotting),(Citation: MS14-025),(Citation: ADSecurity Finding Passwords in SYSVOL),(Citation: SensePost Outlook Home Page),(Citation: Github UACMe)"
M1052,User Account Control,Configure Windows User Account Control to mitigate risk of adversaries obtaining elevated process access.,https://attack.mitre.org/mitigations/M1052,11 June 2019,31 March 2020,1.1,"(Citation: Executable Installers are Vulnerable),(Citation: GitHub IAD Secure Host Baseline UAC Filtering)"
M1018,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts.",https://attack.mitre.org/mitigations/M1018,06 June 2019,20 May 2020,1.1,"(Citation: Expel IO Evil in AWS),(Citation: Microsoft ETW May 2018),(Citation: NSA and ASD Detect and Prevent Web Shells 2020),(Citation: Amazon S3 Security, 2019),(Citation: Cisco IOS Software Integrity Assurance - AAA),(Citation: Microsoft Azure Storage Security, 2019),(Citation: UCF STIG Symbolic Links),(Citation: Amazon  AWS Temporary Security Credentials),(Citation: Microsoft WMI Filters),(Citation: Wald0 Guide to GPOs),(Citation: Mandiant M-Trends 2020),(Citation: Microsoft GPO Security Filtering),(Citation: Microsoft SolarWinds Customer Guidance),(Citation: Symantec BITS May 2007)"
M1017,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction.",https://attack.mitre.org/mitigations/M1017,06 June 2019,21 October 2020,1.2,(Citation: Re-Open windows on Mac)
M1016,Vulnerability Scanning,Vulnerability scanning is used to find potentially exploitable software vulnerabilities to remediate them.,https://attack.mitre.org/mitigations/M1016,06 June 2019,14 July 2020,1.1,(Citation: OWASP Top 10)
