source_ID,source_name,source_type,mapping_type,target_ID,target_name,target_type,mapping_description
,Application Log Content,datacomponent,detects,T1069,Permission Groups Discovery,technique,
,Application Log Content,datacomponent,detects,T1566,Phishing,technique,
,Application Log Content,datacomponent,detects,T1598,Phishing for Information,technique,
,Application Log Content,datacomponent,detects,T1505.001,SQL Stored Procedures,technique,
,Application Log Content,datacomponent,detects,T1594,Search Victim-Owned Websites,technique,
,Application Log Content,datacomponent,detects,T1505,Server Software Component,technique,
,Application Log Content,datacomponent,detects,T1499.002,Service Exhaustion Flood,technique,
,Application Log Content,datacomponent,detects,T1213.002,Sharepoint,technique,
,Application Log Content,datacomponent,detects,T1072,Software Deployment Tools,technique,
,Application Log Content,datacomponent,detects,T1566.001,Spearphishing Attachment,technique,
,Application Log Content,datacomponent,detects,T1598.002,Spearphishing Attachment,technique,
,Application Log Content,datacomponent,detects,T1566.002,Spearphishing Link,technique,
,Application Log Content,datacomponent,detects,T1598.003,Spearphishing Link,technique,
,Application Log Content,datacomponent,detects,T1598.001,Spearphishing Service,technique,
,Application Log Content,datacomponent,detects,T1566.003,Spearphishing via Service,technique,
,Application Log Content,datacomponent,detects,T1505.002,Transport Agent,technique,
,Application Log Content,datacomponent,detects,T1199,Trusted Relationship,technique,
,Application Log Content,datacomponent,detects,T1550,Use Alternate Authentication Material,technique,
,Application Log Content,datacomponent,detects,T1204,User Execution,technique,
,Application Log Content,datacomponent,detects,T1550.004,Web Session Cookie,technique,
,Application Log Content,datacomponent,detects,T1505.003,Web Shell,technique,
,Certificate Registration,datacomponent,detects,T1588.004,Digital Certificates,technique,
,Certificate Registration,datacomponent,detects,T1588,Obtain Capabilities,technique,
,Cloud Service Disable,datacomponent,detects,T1562.008,Disable Cloud Logs,technique,
,Cloud Service Disable,datacomponent,detects,T1562,Impair Defenses,technique,
,Cloud Service Enumeration,datacomponent,detects,T1526,Cloud Service Discovery,technique,
,Cloud Service Enumeration,datacomponent,detects,T1046,Network Service Scanning,technique,
,Cloud Service Metadata,datacomponent,detects,T1526,Cloud Service Discovery,technique,
,Cloud Service Modification,datacomponent,detects,T1562.008,Disable Cloud Logs,technique,
,Cloud Service Modification,datacomponent,detects,T1562,Impair Defenses,technique,
,Cloud Storage Access,datacomponent,detects,T1619,Cloud Storage Object Discovery,technique,
,Cloud Storage Access,datacomponent,detects,T1530,Data from Cloud Storage Object,technique,
,Cloud Storage Creation,datacomponent,detects,T1537,Transfer Data to Cloud Account,technique,
,Cloud Storage Deletion,datacomponent,detects,T1485,Data Destruction,technique,
,Cloud Storage Enumeration,datacomponent,detects,T1580,Cloud Infrastructure Discovery,technique,
,Cloud Storage Enumeration,datacomponent,detects,T1619,Cloud Storage Object Discovery,technique,
,Cloud Storage Metadata,datacomponent,detects,T1580,Cloud Infrastructure Discovery,technique,
,Cloud Storage Metadata,datacomponent,detects,T1486,Data Encrypted for Impact,technique,
,Cloud Storage Modification,datacomponent,detects,T1486,Data Encrypted for Impact,technique,
,Cloud Storage Modification,datacomponent,detects,T1537,Transfer Data to Cloud Account,technique,
,Cluster Metadata,datacomponent,detects,T1613,Container and Resource Discovery,technique,
,Command Execution,datacomponent,detects,T1003.008,/etc/passwd and /etc/shadow,technique,
,Command Execution,datacomponent,detects,T1548,Abuse Elevation Control Mechanism,technique,
,Command Execution,datacomponent,detects,T1134,Access Token Manipulation,technique,
,Command Execution,datacomponent,detects,T1546.008,Accessibility Features,technique,
,Command Execution,datacomponent,detects,T1087,Account Discovery,technique,
,Command Execution,datacomponent,detects,T1098,Account Manipulation,technique,
,Command Execution,datacomponent,detects,T1547.014,Active Setup,technique,
,Command Execution,datacomponent,detects,T1137.006,Add-ins,technique,
,Command Execution,datacomponent,detects,T1546.009,AppCert DLLs,technique,
,Command Execution,datacomponent,detects,T1546.010,AppInit DLLs,technique,
,Command Execution,datacomponent,detects,T1059.002,AppleScript,technique,
,Command Execution,datacomponent,detects,T1546.011,Application Shimming,technique,
,Command Execution,datacomponent,detects,T1010,Application Window Discovery,technique,
,Command Execution,datacomponent,detects,T1560,Archive Collected Data,technique,
,Command Execution,datacomponent,detects,T1560.001,Archive via Utility,technique,
,Command Execution,datacomponent,detects,T1053.001,At (Linux),technique,
,Command Execution,datacomponent,detects,T1053.002,At (Windows),technique,
,Command Execution,datacomponent,detects,T1123,Audio Capture,technique,
,Command Execution,datacomponent,detects,T1547.002,Authentication Package,technique,
,Command Execution,datacomponent,detects,T1119,Automated Collection,technique,
,Command Execution,datacomponent,detects,T1020,Automated Exfiltration,technique,
,Command Execution,datacomponent,detects,T1197,BITS Jobs,technique,
,Command Execution,datacomponent,detects,T1552.003,Bash History,technique,
,Command Execution,datacomponent,detects,T1547,Boot or Logon Autostart Execution,technique,
,Command Execution,datacomponent,detects,T1037,Boot or Logon Initialization Scripts,technique,
,Command Execution,datacomponent,detects,T1217,Browser Bookmark Discovery,technique,
,Command Execution,datacomponent,detects,T1176,Browser Extensions,technique,
,Command Execution,datacomponent,detects,T1110,Brute Force,technique,
,Command Execution,datacomponent,detects,T1548.002,Bypass User Account Control,technique,
,Command Execution,datacomponent,detects,T1218.003,CMSTP,technique,
,Command Execution,datacomponent,detects,T1574.012,COR_PROFILER,technique,
,Command Execution,datacomponent,detects,T1003.005,Cached Domain Credentials,technique,
,Command Execution,datacomponent,detects,T1546.001,Change Default File Association,technique,
,Command Execution,datacomponent,detects,T1070.003,Clear Command History,technique,
,Command Execution,datacomponent,detects,T1070.002,Clear Linux or Mac System Logs,technique,
,Command Execution,datacomponent,detects,T1070.001,Clear Windows Event Logs,technique,
,Command Execution,datacomponent,detects,T1115,Clipboard Data,technique,
,Command Execution,datacomponent,detects,T1087.004,Cloud Account,technique,
,Command Execution,datacomponent,detects,T1069.003,Cloud Groups,technique,
,Command Execution,datacomponent,detects,T1553.006,Code Signing Policy Modification,technique,
,Command Execution,datacomponent,detects,T1059,Command and Scripting Interpreter,technique,
,Command Execution,datacomponent,detects,T1027.004,Compile After Delivery,technique,
,Command Execution,datacomponent,detects,T1218.001,Compiled HTML File,technique,
,Command Execution,datacomponent,detects,T1546.015,Component Object Model Hijacking,technique,
,Command Execution,datacomponent,detects,T1552.007,Container API,technique,
,Command Execution,datacomponent,detects,T1609,Container Administration Command,technique,
,Command Execution,datacomponent,detects,T1218.002,Control Panel,technique,
,Command Execution,datacomponent,detects,T1136,Create Account,technique,
,Command Execution,datacomponent,detects,T1134.002,Create Process with Token,technique,
,Command Execution,datacomponent,detects,T1543,Create or Modify System Process,technique,
,Command Execution,datacomponent,detects,T1552.001,Credentials In Files,technique,
,Command Execution,datacomponent,detects,T1555,Credentials from Password Stores,technique,
,Command Execution,datacomponent,detects,T1555.003,Credentials from Web Browsers,technique,
,Command Execution,datacomponent,detects,T1552.002,Credentials in Registry,technique,
,Command Execution,datacomponent,detects,T1053.003,Cron,technique,
,Command Execution,datacomponent,detects,T1485,Data Destruction,technique,
,Command Execution,datacomponent,detects,T1486,Data Encrypted for Impact,technique,
,Command Execution,datacomponent,detects,T1074,Data Staged,technique,
,Command Execution,datacomponent,detects,T1005,Data from Local System,technique,
,Command Execution,datacomponent,detects,T1039,Data from Network Shared Drive,technique,
,Command Execution,datacomponent,detects,T1025,Data from Removable Media,technique,
,Command Execution,datacomponent,detects,T1006,Direct Volume Access,technique,
,Command Execution,datacomponent,detects,T1562.002,Disable Windows Event Logging,technique,
,Command Execution,datacomponent,detects,T1562.004,Disable or Modify System Firewall,technique,
,Command Execution,datacomponent,detects,T1562.001,Disable or Modify Tools,technique,
,Command Execution,datacomponent,detects,T1561.001,Disk Content Wipe,technique,
,Command Execution,datacomponent,detects,T1561.002,Disk Structure Wipe,technique,
,Command Execution,datacomponent,detects,T1561,Disk Wipe,technique,
,Command Execution,datacomponent,detects,T1136.002,Domain Account,technique,
,Command Execution,datacomponent,detects,T1087.002,Domain Account,technique,
,Command Execution,datacomponent,detects,T1069.002,Domain Groups,technique,
,Command Execution,datacomponent,detects,T1484,Domain Policy Modification,technique,
,Command Execution,datacomponent,detects,T1482,Domain Trust Discovery,technique,
,Command Execution,datacomponent,detects,T1484.002,Domain Trust Modification,technique,
,Command Execution,datacomponent,detects,T1562.010,Downgrade Attack,technique,
,Command Execution,datacomponent,detects,T1574.006,Dynamic Linker Hijacking,technique,
,Command Execution,datacomponent,detects,T1087.003,Email Account,technique,
,Command Execution,datacomponent,detects,T1114,Email Collection,technique,
,Command Execution,datacomponent,detects,T1564.008,Email Hiding Rules,technique,
,Command Execution,datacomponent,detects,T1546.014,Emond,technique,
,Command Execution,datacomponent,detects,T1480.001,Environmental Keying,technique,
,Command Execution,datacomponent,detects,T1546,Event Triggered Execution,technique,
,Command Execution,datacomponent,detects,T1480,Execution Guardrails,technique,
,Command Execution,datacomponent,detects,T1048,Exfiltration Over Alternative Protocol,technique,
,Command Execution,datacomponent,detects,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,technique,
,Command Execution,datacomponent,detects,T1011.001,Exfiltration Over Bluetooth,technique,
,Command Execution,datacomponent,detects,T1041,Exfiltration Over C2 Channel,technique,
,Command Execution,datacomponent,detects,T1011,Exfiltration Over Other Network Medium,technique,
,Command Execution,datacomponent,detects,T1052,Exfiltration Over Physical Medium,technique,
,Command Execution,datacomponent,detects,T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,technique,
,Command Execution,datacomponent,detects,T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,technique,
,Command Execution,datacomponent,detects,T1567,Exfiltration Over Web Service,technique,
,Command Execution,datacomponent,detects,T1052.001,Exfiltration over USB,technique,
,Command Execution,datacomponent,detects,T1567.002,Exfiltration to Cloud Storage,technique,
,Command Execution,datacomponent,detects,T1567.001,Exfiltration to Code Repository,technique,
,Command Execution,datacomponent,detects,T1070.004,File Deletion,technique,
,Command Execution,datacomponent,detects,T1083,File and Directory Discovery,technique,
,Command Execution,datacomponent,detects,T1222,File and Directory Permissions Modification,technique,
,Command Execution,datacomponent,detects,T1056.002,GUI Input Capture,technique,
,Command Execution,datacomponent,detects,T1553.001,Gatekeeper Bypass,technique,
,Command Execution,datacomponent,detects,T1615,Group Policy Discovery,technique,
,Command Execution,datacomponent,detects,T1484.001,Group Policy Modification,technique,
,Command Execution,datacomponent,detects,T1552.006,Group Policy Preferences,technique,
,Command Execution,datacomponent,detects,T1564.001,Hidden Files and Directories,technique,
,Command Execution,datacomponent,detects,T1564.002,Hidden Users,technique,
,Command Execution,datacomponent,detects,T1564.003,Hidden Window,technique,
,Command Execution,datacomponent,detects,T1564,Hide Artifacts,technique,
,Command Execution,datacomponent,detects,T1574,Hijack Execution Flow,technique,
,Command Execution,datacomponent,detects,T1505.004,IIS Components,technique,
,Command Execution,datacomponent,detects,T1546.012,Image File Execution Options Injection,technique,
,Command Execution,datacomponent,detects,T1562.003,Impair Command History Logging,technique,
,Command Execution,datacomponent,detects,T1562,Impair Defenses,technique,
,Command Execution,datacomponent,detects,T1562.006,Indicator Blocking,technique,
,Command Execution,datacomponent,detects,T1070,Indicator Removal on Host,technique,
,Command Execution,datacomponent,detects,T1202,Indirect Command Execution,technique,
,Command Execution,datacomponent,detects,T1490,Inhibit System Recovery,technique,
,Command Execution,datacomponent,detects,T1553.004,Install Root Certificate,technique,
,Command Execution,datacomponent,detects,T1218.004,InstallUtil,technique,
,Command Execution,datacomponent,detects,T1016.001,Internet Connection Discovery,technique,
,Command Execution,datacomponent,detects,T1059.007,JavaScript,technique,
,Command Execution,datacomponent,detects,T1547.006,Kernel Modules and Extensions,technique,
,Command Execution,datacomponent,detects,T1555.001,Keychain,technique,
,Command Execution,datacomponent,detects,T1546.006,LC_LOAD_DYLIB Addition,technique,
,Command Execution,datacomponent,detects,T1003.004,LSA Secrets,technique,
,Command Execution,datacomponent,detects,T1003.001,LSASS Memory,technique,
,Command Execution,datacomponent,detects,T1570,Lateral Tool Transfer,technique,
,Command Execution,datacomponent,detects,T1543.001,Launch Agent,technique,
,Command Execution,datacomponent,detects,T1543.004,Launch Daemon,technique,
,Command Execution,datacomponent,detects,T1569.001,Launchctl,technique,
,Command Execution,datacomponent,detects,T1222.002,Linux and Mac File and Directory Permissions Modification,technique,
,Command Execution,datacomponent,detects,T1136.001,Local Account,technique,
,Command Execution,datacomponent,detects,T1087.001,Local Account,technique,
,Command Execution,datacomponent,detects,T1074.001,Local Data Staging,technique,
,Command Execution,datacomponent,detects,T1114.001,Local Email Collection,technique,
,Command Execution,datacomponent,detects,T1069.001,Local Groups,technique,
,Command Execution,datacomponent,detects,T1037.002,Logon Script (Mac),technique,
,Command Execution,datacomponent,detects,T1037.001,Logon Script (Windows),technique,
,Command Execution,datacomponent,detects,T1218.014,MMC,technique,
,Command Execution,datacomponent,detects,T1127.001,MSBuild,technique,
,Command Execution,datacomponent,detects,T1134.003,Make and Impersonate Token,technique,
,Command Execution,datacomponent,detects,T1204.003,Malicious Image,technique,
,Command Execution,datacomponent,detects,T1036.004,Masquerade Task or Service,technique,
,Command Execution,datacomponent,detects,T1036,Masquerading,technique,
,Command Execution,datacomponent,detects,T1218.013,Mavinject,technique,
,Command Execution,datacomponent,detects,T1112,Modify Registry,technique,
,Command Execution,datacomponent,detects,T1218.005,Mshta,technique,
,Command Execution,datacomponent,detects,T1218.007,Msiexec,technique,
,Command Execution,datacomponent,detects,T1003.003,NTDS,technique,
,Command Execution,datacomponent,detects,T1564.004,NTFS File Attributes,technique,
,Command Execution,datacomponent,detects,T1546.007,Netsh Helper DLL,technique,
,Command Execution,datacomponent,detects,T1059.008,Network Device CLI,technique,
,Command Execution,datacomponent,detects,T1037.003,Network Logon Script,technique,
,Command Execution,datacomponent,detects,T1046,Network Service Scanning,technique,
,Command Execution,datacomponent,detects,T1070.005,Network Share Connection Removal,technique,
,Command Execution,datacomponent,detects,T1135,Network Share Discovery,technique,
,Command Execution,datacomponent,detects,T1040,Network Sniffing,technique,
,Command Execution,datacomponent,detects,T1003,OS Credential Dumping,technique,
,Command Execution,datacomponent,detects,T1027,Obfuscated Files or Information,technique,
,Command Execution,datacomponent,detects,T1218.008,Odbcconf,technique,
,Command Execution,datacomponent,detects,T1137,Office Application Startup,technique,
,Command Execution,datacomponent,detects,T1137.001,Office Template Macros,technique,
,Command Execution,datacomponent,detects,T1137.002,Office Test,technique,
,Command Execution,datacomponent,detects,T1137.003,Outlook Forms,technique,
,Command Execution,datacomponent,detects,T1137.004,Outlook Home Page,technique,
,Command Execution,datacomponent,detects,T1137.005,Outlook Rules,technique,
,Command Execution,datacomponent,detects,T1555.005,Password Managers,technique,
,Command Execution,datacomponent,detects,T1201,Password Policy Discovery,technique,
,Command Execution,datacomponent,detects,T1120,Peripheral Device Discovery,technique,
,Command Execution,datacomponent,detects,T1069,Permission Groups Discovery,technique,
,Command Execution,datacomponent,detects,T1547.011,Plist Modification,technique,
,Command Execution,datacomponent,detects,T1059.001,PowerShell,technique,
,Command Execution,datacomponent,detects,T1546.013,PowerShell Profile,technique,
,Command Execution,datacomponent,detects,T1542,Pre-OS Boot,technique,
,Command Execution,datacomponent,detects,T1552.004,Private Keys,technique,
,Command Execution,datacomponent,detects,T1003.007,Proc Filesystem,technique,
,Command Execution,datacomponent,detects,T1057,Process Discovery,technique,
,Command Execution,datacomponent,detects,T1216.001,PubPrn,technique,
,Command Execution,datacomponent,detects,T1059.006,Python,technique,
,Command Execution,datacomponent,detects,T1012,Query Registry,technique,
,Command Execution,datacomponent,detects,T1037.004,RC Scripts,technique,
,Command Execution,datacomponent,detects,T1563.002,RDP Hijacking,technique,
,Command Execution,datacomponent,detects,T1547.007,Re-opened Applications,technique,
,Command Execution,datacomponent,detects,T1547.001,Registry Run Keys / Startup Folder,technique,
,Command Execution,datacomponent,detects,T1218.009,Regsvcs/Regasm,technique,
,Command Execution,datacomponent,detects,T1218.010,Regsvr32,technique,
,Command Execution,datacomponent,detects,T1074.002,Remote Data Staging,technique,
,Command Execution,datacomponent,detects,T1114.002,Remote Email Collection,technique,
,Command Execution,datacomponent,detects,T1563,Remote Service Session Hijacking,technique,
,Command Execution,datacomponent,detects,T1021,Remote Services,technique,
,Command Execution,datacomponent,detects,T1018,Remote System Discovery,technique,
,Command Execution,datacomponent,detects,T1036.003,Rename System Utilities,technique,
,Command Execution,datacomponent,detects,T1564.009,Resource Forking,technique,
,Command Execution,datacomponent,detects,T1496,Resource Hijacking,technique,
,Command Execution,datacomponent,detects,T1564.006,Run Virtual Instance,technique,
,Command Execution,datacomponent,detects,T1218.011,Rundll32,technique,
,Command Execution,datacomponent,detects,T1021.002,SMB/Windows Admin Shares,technique,
,Command Execution,datacomponent,detects,T1098.004,SSH Authorized Keys,technique,
,Command Execution,datacomponent,detects,T1563.001,SSH Hijacking,technique,
,Command Execution,datacomponent,detects,T1562.009,Safe Mode Boot,technique,
,Command Execution,datacomponent,detects,T1053.005,Scheduled Task,technique,
,Command Execution,datacomponent,detects,T1053,Scheduled Task/Job,technique,
,Command Execution,datacomponent,detects,T1113,Screen Capture,technique,
,Command Execution,datacomponent,detects,T1546.002,Screensaver,technique,
,Command Execution,datacomponent,detects,T1003.002,Security Account Manager,technique,
,Command Execution,datacomponent,detects,T1518.001,Security Software Discovery,technique,
,Command Execution,datacomponent,detects,T1547.005,Security Support Provider,technique,
,Command Execution,datacomponent,detects,T1555.002,Securityd Memory,technique,
,Command Execution,datacomponent,detects,T1569.002,Service Execution,technique,
,Command Execution,datacomponent,detects,T1489,Service Stop,technique,
,Command Execution,datacomponent,detects,T1574.011,Services Registry Permissions Weakness,technique,
,Command Execution,datacomponent,detects,T1548.001,Setuid and Setgid,technique,
,Command Execution,datacomponent,detects,T1218,Signed Binary Proxy Execution,technique,
,Command Execution,datacomponent,detects,T1216,Signed Script Proxy Execution,technique,
,Command Execution,datacomponent,detects,T1518,Software Discovery,technique,
,Command Execution,datacomponent,detects,T1037.005,Startup Items,technique,
,Command Execution,datacomponent,detects,T1558,Steal or Forge Kerberos Tickets,technique,
,Command Execution,datacomponent,detects,T1553,Subvert Trust Controls,technique,
,Command Execution,datacomponent,detects,T1548.003,Sudo and Sudo Caching,technique,
,Command Execution,datacomponent,detects,T1497.001,System Checks,technique,
,Command Execution,datacomponent,detects,T1082,System Information Discovery,technique,
,Command Execution,datacomponent,detects,T1614.001,System Language Discovery,technique,
,Command Execution,datacomponent,detects,T1614,System Location Discovery,technique,
,Command Execution,datacomponent,detects,T1016,System Network Configuration Discovery,technique,
,Command Execution,datacomponent,detects,T1049,System Network Connections Discovery,technique,
,Command Execution,datacomponent,detects,T1033,System Owner/User Discovery,technique,
,Command Execution,datacomponent,detects,T1007,System Service Discovery,technique,
,Command Execution,datacomponent,detects,T1569,System Services,technique,
,Command Execution,datacomponent,detects,T1529,System Shutdown/Reboot,technique,
,Command Execution,datacomponent,detects,T1124,System Time Discovery,technique,
,Command Execution,datacomponent,detects,T1543.002,Systemd Service,technique,
,Command Execution,datacomponent,detects,T1053.006,Systemd Timers,technique,
,Command Execution,datacomponent,detects,T1542.005,TFTP Boot,technique,
,Command Execution,datacomponent,detects,T1497.003,Time Based Evasion,technique,
,Command Execution,datacomponent,detects,T1547.003,Time Providers,technique,
,Command Execution,datacomponent,detects,T1134.001,Token Impersonation/Theft,technique,
,Command Execution,datacomponent,detects,T1546.005,Trap,technique,
,Command Execution,datacomponent,detects,T1127,Trusted Developer Utilities Proxy Execution,technique,
,Command Execution,datacomponent,detects,T1059.004,Unix Shell,technique,
,Command Execution,datacomponent,detects,T1546.004,Unix Shell Configuration Modification,technique,
,Command Execution,datacomponent,detects,T1552,Unsecured Credentials,technique,
,Command Execution,datacomponent,detects,T1497.002,User Activity Based Checks,technique,
,Command Execution,datacomponent,detects,T1204,User Execution,technique,
,Command Execution,datacomponent,detects,T1218.012,Verclsid,technique,
,Command Execution,datacomponent,detects,T1125,Video Capture,technique,
,Command Execution,datacomponent,detects,T1497,Virtualization/Sandbox Evasion,technique,
,Command Execution,datacomponent,detects,T1059.005,Visual Basic,technique,
,Command Execution,datacomponent,detects,T1059.003,Windows Command Shell,technique,
,Command Execution,datacomponent,detects,T1555.004,Windows Credential Manager,technique,
,Command Execution,datacomponent,detects,T1222.001,Windows File and Directory Permissions Modification,technique,
,Command Execution,datacomponent,detects,T1047,Windows Management Instrumentation,technique,
,Command Execution,datacomponent,detects,T1546.003,Windows Management Instrumentation Event Subscription,technique,
,Command Execution,datacomponent,detects,T1021.006,Windows Remote Management,technique,
,Command Execution,datacomponent,detects,T1543.003,Windows Service,technique,
,Command Execution,datacomponent,detects,T1547.004,Winlogon Helper DLL,technique,
,Command Execution,datacomponent,detects,T1547.013,XDG Autostart Entries,technique,
,Container Creation,datacomponent,detects,T1053.007,Container Orchestration Job,technique,
,Container Creation,datacomponent,detects,T1610,Deploy Container,technique,
,Container Creation,datacomponent,detects,T1611,Escape to Host,technique,
,Container Creation,datacomponent,detects,T1204.003,Malicious Image,technique,
,Container Creation,datacomponent,detects,T1053,Scheduled Task/Job,technique,
,Container Creation,datacomponent,detects,T1204,User Execution,technique,
,Container Enumeration,datacomponent,detects,T1613,Container and Resource Discovery,technique,
,Container Metadata,datacomponent,detects,T1613,Container and Resource Discovery,technique,
,Container Start,datacomponent,detects,T1610,Deploy Container,technique,
,Container Start,datacomponent,detects,T1204.003,Malicious Image,technique,
,Container Start,datacomponent,detects,T1204,User Execution,technique,
,Domain Registration,datacomponent,detects,T1583,Acquire Infrastructure,technique,
,Domain Registration,datacomponent,detects,T1584,Compromise Infrastructure,technique,
,Domain Registration,datacomponent,detects,T1583.001,Domains,technique,
,Domain Registration,datacomponent,detects,T1584.001,Domains,technique,
,Drive Access,datacomponent,detects,T1092,Communication Through Removable Media,technique,
,Drive Access,datacomponent,detects,T1006,Direct Volume Access,technique,
,Drive Access,datacomponent,detects,T1561.001,Disk Content Wipe,technique,
,Drive Access,datacomponent,detects,T1561.002,Disk Structure Wipe,technique,
,Drive Access,datacomponent,detects,T1561,Disk Wipe,technique,
,Drive Creation,datacomponent,detects,T1092,Communication Through Removable Media,technique,
,Drive Creation,datacomponent,detects,T1052,Exfiltration Over Physical Medium,technique,
,Drive Creation,datacomponent,detects,T1052.001,Exfiltration over USB,technique,
,Drive Creation,datacomponent,detects,T1091,Replication Through Removable Media,technique,
,Drive Modification,datacomponent,detects,T1542.003,Bootkit,technique,
,Drive Modification,datacomponent,detects,T1561.001,Disk Content Wipe,technique,
,Drive Modification,datacomponent,detects,T1561.002,Disk Structure Wipe,technique,
,Drive Modification,datacomponent,detects,T1561,Disk Wipe,technique,
,Drive Modification,datacomponent,detects,T1542,Pre-OS Boot,technique,
