ID,name,description,url,created,last modified,version,relationship citations
M1044,Restrict Library Loading,Prevent abuse of library loading mechanisms in the operating system and software to load untrusted code by configuring appropriate library loading mechanisms and investigating potential vulnerable software.,https://attack.mitre.org/mitigations/M1044,11 June 2019,11 June 2019,1.0,"(Citation: Microsoft DLL Security),(Citation: Microsoft More information about DLL),(Citation: Microsoft Dynamic Link Library Search Order)"
M1024,Restrict Registry Permissions,Restrict the ability to modify certain hives or keys in the Windows Registry.,https://attack.mitre.org/mitigations/M1024,06 June 2019,06 June 2019,1.0,"(Citation: def_ev_win_event_logging),(Citation: Microsoft W32Time May 2017)"
M1021,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.",https://attack.mitre.org/mitigations/M1021,06 June 2019,06 June 2019,1.0,(Citation: Microsoft Azure AD Admin Consent)
M1020,SSL/TLS Inspection,Break and inspect SSL/TLS sessions to look at encrypted web traffic for adversary activity.,https://attack.mitre.org/mitigations/M1020,06 June 2019,06 June 2019,1.0,
M1054,Software Configuration,Implement configuration changes to software (other than the operating system) to mitigate security risks associated to how the software operates.,https://attack.mitre.org/mitigations/M1054,19 July 2019,31 March 2020,1.1,"(Citation: Cisco Securing SNMP),(Citation: CloudSploit - Unused AWS Regions),(Citation: US-CERT TA18-106A Network Infrastructure Devices 2018),(Citation: ACSC Email Spoofing),(Citation: Enigma Reviving DDE Jan 2018),(Citation: Palo Alto Office Test Sofacy),(Citation: Wikipedia HPKP),(Citation: Microsoft Anti Spoofing),(Citation: GitHub Disable DDEAUTO Oct 2017),(Citation: CyberArk Labs Safe Mode 2016)"
M1019,Threat Intelligence Program,A threat intelligence program helps an organization generate their own threat intelligence information and track trends to inform defensive priorities to mitigate risk.,https://attack.mitre.org/mitigations/M1019,06 June 2019,06 June 2019,1.0,
M1051,Update Software,Perform regular software updates to mitigate exploitation risk.,https://attack.mitre.org/mitigations/M1051,11 June 2019,07 July 2020,1.0,"(Citation: Github UACMe),(Citation: ADSecurity Finding Passwords in SYSVOL),(Citation: SensePost Outlook Home Page),(Citation: SensePost Outlook Forms),(Citation: NSA Spotting),(Citation: MS14-025),(Citation: Cisco Blog Legacy Device Attacks)"
M1052,User Account Control,Configure Windows User Account Control to mitigate risk of adversaries obtaining elevated process access.,https://attack.mitre.org/mitigations/M1052,11 June 2019,31 March 2020,1.1,"(Citation: Executable Installers are Vulnerable),(Citation: GitHub IAD Secure Host Baseline UAC Filtering)"
M1018,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts.",https://attack.mitre.org/mitigations/M1018,06 June 2019,20 May 2020,1.1,"(Citation: Amazon S3 Security, 2019),(Citation: Microsoft WMI Filters),(Citation: Symantec BITS May 2007),(Citation: Microsoft GPO Security Filtering),(Citation: Amazon  AWS Temporary Security Credentials),(Citation: UCF STIG Symbolic Links),(Citation: Microsoft ETW May 2018),(Citation: Wald0 Guide to GPOs),(Citation: NSA and ASD Detect and Prevent Web Shells 2020),(Citation: Microsoft Azure Storage Security, 2019),(Citation: Expel IO Evil in AWS),(Citation: Microsoft SolarWinds Customer Guidance),(Citation: Mandiant M-Trends 2020),(Citation: Cisco IOS Software Integrity Assurance - AAA)"
M1017,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction.",https://attack.mitre.org/mitigations/M1017,06 June 2019,21 October 2020,1.2,(Citation: Re-Open windows on Mac)
M1016,Vulnerability Scanning,Vulnerability scanning is used to find potentially exploitable software vulnerabilities to remediate them.,https://attack.mitre.org/mitigations/M1016,06 June 2019,14 July 2020,1.1,(Citation: OWASP Top 10)
